config,test_mse,test_mae,test_r2,train_mse,train_mae,train_r2
nnr_82,0.7577446015807888,0.7512766434128564,-1.7096121351541123,0.22598197612968296,0.29204835388793443,-0.10482695177723222
nnr_41,0.6088065408550145,0.6490168457761444,-1.1770258575521715,0.5222861905652983,0.5129156542817076,-1.5534596597494175
nnr_20,1.942309146976531,1.1171808026274643,-5.945485885203397,0.46408546792661715,0.35946642856479655,-1.2689160510714146
nnr_41_20,0.7563858255763993,0.6736489833856731,-1.7047533002079192,0.334116962549278,0.3252057220967346,-0.633499412619303
tr,0.013860902066802103,0.10140704296870515,0.9504349244243538,0.0,0.0,1.0
svr,0.07697616655393713,0.26177509841208113,0.7247416153449766,0.008088731982864613,0.08565094326828956,0.9604541510193587
