db,total_tweets,total_users,user_ratio_0,tweet_ratio_0,tweet_per_user_mean_0,tweet_per_user_std_0,tweet_fav_mean_0,tweet_fav_std_0,tweet_rt_mean_0,tweet_rt_std_0,user_ratio_1,tweet_ratio_1,tweet_per_user_mean_1,tweet_per_user_std_1,tweet_fav_mean_1,tweet_fav_std_1,tweet_rt_mean_1,tweet_rt_std_1,user_ratio_2,tweet_ratio_2,tweet_per_user_mean_2,tweet_per_user_std_2,tweet_fav_mean_2,tweet_fav_std_2,tweet_rt_mean_2,tweet_rt_std_2,user_ratio_3,tweet_ratio_3,tweet_per_user_mean_3,tweet_per_user_std_3,tweet_fav_mean_3,tweet_fav_std_3,tweet_rt_mean_3,tweet_rt_std_3,user_ratio_4,tweet_ratio_4,tweet_per_user_mean_4,tweet_per_user_std_4,tweet_fav_mean_4,tweet_fav_std_4,tweet_rt_mean_4,tweet_rt_std_4
hta_01,1215,870,0.6413793103448275,0.6008230452674898,1.3082437275985663,0.951307418449021,362.6616438356164,1526.5718857955583,83.98356164383561,305.8434190726595,0.23448275862068965,0.24609053497942388,1.4656862745098038,1.7132125023028826,121.60200668896321,559.9717373386328,33.26086956521739,147.6813170714322,0.07126436781609195,0.07407407407407407,1.4516129032258065,1.3521478654925603,95.92222222222222,349.5977443284012,31.377777777777776,108.19011844154281,0.03333333333333333,0.06419753086419754,2.689655172413793,7.173242657677315,26.53846153846154,94.8372009000488,7.871794871794871,28.29802882251649,0.01954022988505747,0.014814814814814815,1.0588235294117647,0.23529411764705885,33.72222222222222,111.98154885493689,9.722222222222221,33.02491577170781
hta_02,8517,5249,0.7205181939417031,0.7306563343900434,1.6454257006874669,2.3125388709767445,57.103326369918044,853.1768108114348,16.310139803953078,289.200696982515,0.16974661840350544,0.17682282493835857,1.6902356902356903,1.8478929216069542,16.066401062417,303.1246914921761,5.422310756972111,111.38920379172136,0.05105734425604877,0.047082305976282726,1.4962686567164178,1.444232312545211,8.910224438902743,65.3595993495345,2.71072319201995,19.258605220474575,0.033911221184987614,0.02653516496418927,1.2696629213483146,1.0029624091874787,5.039823008849558,29.938332015369184,1.924778761061947,11.235949187967751,0.024766622213755002,0.018903369731125982,1.2384615384615385,0.8114928897157212,2.1180124223602483,12.27701932485859,0.7018633540372671,3.9607464013569516
hta_03,7764,4591,0.46242648660422564,0.4484801648634724,1.6401318888365521,2.2057455871920935,50.71481906950029,661.0265005352799,17.840034462952325,249.04505836663316,0.2999346547593117,0.32174137042761464,1.8140885984023238,2.3791649916535422,11.61369095276221,76.51902386673906,5.000400320256205,32.09969333326323,0.12415595730777608,0.1302163833075734,1.7736842105263158,2.1601678228980328,23.387734915924828,221.5050220317249,9.635014836795252,81.97151757679316,0.07209758222609454,0.07238536836682123,1.6978851963746224,4.304072588238513,76.03202846975088,709.9404082849591,31.697508896797153,285.22112473271403,0.04138531910259203,0.02717671303451829,1.1105263157894736,0.516460358535927,7.5829383886255926,43.93981766234352,3.691943127962085,19.60063064844269
hta_04,3196,797,0.7377666248431619,0.7065081351689612,3.8401360544217686,9.745483236807917,29.659875996457043,337.8377991852819,6.914968999114261,81.3122655713803,0.1480552070263488,0.16176470588235295,4.38135593220339,10.112016254818771,8.611218568665377,55.628375496779,1.8413926499032882,6.413687339944846,0.07026348808030113,0.10669586983729662,6.089285714285714,15.986910701430412,5.700879765395895,35.92724359132756,1.3870967741935485,9.560565270255859,0.027603513174404015,0.01783479349186483,2.590909090909091,5.033154540454642,5.052631578947368,10.360893161782915,1.4912280701754386,4.61546905874089,0.01631116687578419,0.0071964956195244055,1.7692307692307692,2.6646935501059645,1.0434782608695652,2.38616047548039,0.21739130434782608,0.7196932764020367
hta_05,20645,7897,0.518804609345321,0.4544926132235408,2.290212350500366,3.7825936888208225,18.69327507193861,289.9349402127694,5.083342214643504,72.65148434984638,0.3087248322147651,0.3554371518527488,3.0098441345365052,4.919272996833929,5.890024529844644,61.361752613575995,2.479422185881712,35.16385620032045,0.10662276813979993,0.12303221118914992,3.016627078384798,5.025560228150957,11.895669291338583,61.69527398138908,4.501574803149606,24.584459864136402,0.04520704064834748,0.05618793896827319,3.249299719887955,15.315616270673024,29.911206896551725,229.0878423871024,10.934482758620689,82.62276665399222,0.020640749651766495,0.010850084766287236,1.3742331288343559,1.3342394702810492,9.736607142857142,92.92223755025309,3.4151785714285716,29.65684608334085
hta_06,1836,1196,0.7725752508361204,0.7712418300653595,1.5324675324675325,1.3134444546785928,176.9526836158192,1277.7473368948772,42.068502824858754,301.71253711625195,0.15802675585284282,0.15631808278867101,1.5185185185185186,1.5034091509146434,37.64459930313589,240.44522979994892,9.362369337979095,58.99330599209988,0.046822742474916385,0.049019607843137254,1.6071428571428572,1.190416665178497,7.666666666666667,22.890560888230283,2.6777777777777776,10.056316729938427,0.016722408026755852,0.0196078431372549,1.8,1.4352700094407325,1.5277777777777777,3.353986940204408,0.3055555555555556,0.699977953797453,0.005852842809364548,0.003812636165577342,1.0,0.0,1.0,0.9258200997725514,0.42857142857142855,0.7284313590846835
hta_07,16121,7375,0.5688135593220339,0.5351404999689846,2.0564958283671038,3.9525074037628616,56.57146169004289,799.1678509865893,17.933348788686683,217.89183088906177,0.27647457627118643,0.2993610818187457,2.3668464933791076,3.7885244515298226,9.515333609614588,85.80074470674634,4.005801906340655,36.43328334671486,0.09505084745762712,0.10619688604925252,2.4422253922967188,4.17910537361838,21.707943925233646,229.25961945895347,9.50233644859813,94.99615705045176,0.04257627118644068,0.04484833447056634,2.3025477707006368,10.580335377178635,34.25864453665284,260.04903419280004,17.326417704011064,129.13375058443305,0.017084745762711864,0.01445319769245084,1.8492063492063493,6.761313223995435,9.317596566523605,71.53763371820689,4.030042918454936,31.2665948864303
hta_08,1089,498,0.678714859437751,0.6235078053259872,2.0088757396449703,3.1477301734606153,38.90574374079529,367.92770782448156,9.142857142857142,67.68554537572075,0.24899598393574296,0.33884297520661155,2.975806451612903,10.508417294105477,25.612466124661246,140.7167057634242,7.487804878048781,37.728461976986544,0.05220883534136546,0.025711662075298437,1.0769230769230769,0.26646935501059654,49.964285714285715,251.93798587051097,9.464285714285714,45.55724980948786,0.014056224899598393,0.009182736455463728,1.4285714285714286,0.7284313590846835,26.7,64.24180881637751,6.8,14.309437445266674,0.006024096385542169,0.0027548209366391185,1.0,0.0,0.6666666666666666,0.4714045207910317,0.0,0.0
hta_09,9260,5081,0.6000787246604999,0.5632829373650108,1.7107248278123974,3.2469608515415254,34.05310582822086,401.99677805268584,9.68385736196319,108.56701310484351,0.26156268451092307,0.28488120950323975,1.9849510910458992,2.6825662698599464,14.314632297194844,167.06519596402885,5.866944655041698,80.67084230482877,0.09328872269238339,0.09200863930885529,1.7974683544303798,2.721440485571769,13.886150234741784,80.08733463966915,5.514084507042254,32.38277578935821,0.032473922456209406,0.05129589632829374,2.878787878787879,12.696354942809077,11.452631578947368,74.06608264474333,4.511578947368421,26.46748497052222,0.012595945679984255,0.008531317494600432,1.234375,0.6553192804847116,19.341772151898734,74.95042852512576,6.89873417721519,23.92741922570748
hta_10,22564,8757,0.49389060180427086,0.4413224605566389,2.30242774566474,3.7679029143473084,8.22795742116891,159.7360874936722,3.070897770636674,49.12667913823023,0.3099234897796049,0.34213791880872185,2.844509948415623,5.300629931497026,4.438212435233161,83.35927495580168,1.8555699481865284,27.462598118177887,0.12081763160899851,0.14545293387697217,3.1020793950850662,7.0451538147488,4.321755027422303,37.055199641104636,2.0499695307739185,16.731705563190705,0.05310037684138404,0.057569579861726644,2.793548387096774,11.220582148580128,5.088529638183218,42.095704763999805,2.54657428791378,22.62493212585281,0.022267899965741692,0.013517106895940436,1.564102564102564,3.3450681016782338,7.711475409836066,53.22807744950691,3.088524590163934,18.57414118536805
