config,test_mse,test_mae,test_r2,train_mse,train_mae,train_r2
nnr_82,0.7904705259397813,0.6456766026661205,-1.8266364750072381,0.2018872457826065,0.2623151628947087,0.012972299026638545
nnr_41,1.0842947639314606,0.7237551007619473,-2.8773199364317805,0.31707162178522613,0.3213242513731489,-0.5501646608798789
nnr_20,0.5030599384888161,0.6231606858417796,-0.7988875291166924,0.5300188035650106,0.34849907500702454,-1.5912644413344874
nnr_41_20,1.1502210417776815,0.7575582867398895,-3.1130651230091555,0.33491398585062465,0.3383260121035095,-0.6373960633150955
tr,0.022867900156292274,0.14974301806807339,0.9182268806142384,0.0,0.0,1.0
svr,0.07697616655393713,0.26177509841208113,0.7247416153449766,0.008088731982864613,0.08565094326828956,0.9604541510193587
