config,test_mse,test_mae,test_r2,train_mse,train_mae,train_r2
nnr_82,19.14521259752052,3.187536168045885,-107.08535635112469,0.38955269007816357,0.3228280540717332,-0.9654635545719683
nnr_41,18.712200149787975,3.1481887101601425,-104.64076063408856,0.2781915917065985,0.2660617390024127,-0.4035981488870597
nnr_20,8.118909721457785,2.146546697564012,-44.835753766454594,0.3505504073516657,0.276256511616215,-0.7686799943591971
nnr_41_20,9.928942375961912,2.2070296048592395,-55.05439320295726,0.14698452565197043,0.1851525863339335,0.25839883637556116
tr,0.0401463012516884,0.17506550218860717,0.7733518363995439,0.0,0.0,1.0
svr,0.14227763675567356,0.3320344326342248,0.19676373447404494,0.008396672605611853,0.08896566646208849,0.9576351173888915
